location,total_sqft,bath,price,bhk
other,22222.22222,3,600,4
"Kunj Vihar Apartment, Dwarka Sector 12",11600,2,174,3
other,17586.2069,5,510,5
other,33830.84577,6,1700,5
"Partap Homes, Bhagwati Vihar, Uttam Nagar",5510,2,55.1,3
"The Amaryllis, Karol Bagh",22026.43172,3,250,3
"The Leela Sky Villas, Patel Nagar",24718.12663,3,570,3
other,3458.823529,2,29.4,2
"Ashirwad Apartments, Dwarka Sector 12",12916.66667,3,155,3
"Sunny Valley Apartments, Dwarka",10117.64706,2,172,3
other,30555.55556,3,550,4
Vasant Kunj,13636.36364,2,150,2
Greater Kailash 1,2312.92517,4,510,4
Rohini Sector 24,8387.096774,3,130,4
Greater Kailash 1,18750,3,300,3
other,3428.571429,2,24,2
"Batla House, Okhla",122222.2222,3,55,4
other,12820.51282,4,450,4
New Friends Colony,13333.33333,4,600,4
New Friends Colony,36111.11111,4,650,4
"Maharani Bagh, New Friends Colony",36666.66667,5,2200,5
other,13953.48837,4,600,4
"Friends Colony East, New Friends Colony",22647.05882,3,385,3
"Maharani Bagh, New Friends Colony",20000,3,500,3
New Friends Colony,16666.66667,4,750,4
other,28571.42857,4,700,4
"Maharani Bagh, New Friends Colony",15458.9372,7,1600,4
"Maharani Bagh, New Friends Colony",17708.33333,4,850,3
New Friends Colony,25000,3,400,3
New Friends Colony,25714.28571,4,900,4
New Friends Colony,26666.66667,5,560,4
"Friends Colony East, New Friends Colony",32261.90476,5,1355,5
New Friends Colony,40000,3,600,3
"Maharani Bagh, New Friends Colony",20858.89571,5,1700,4
other,22727.27273,4,500,4
New Friends Colony,16571.42857,5,580,4
"Friends Colony East, New Friends Colony",18115.94203,3,375,3
"Maharani Bagh, New Friends Colony",12857.14286,3,450,3
New Friends Colony,35000,4,700,4
other,10535.71429,4,295,6
New Friends Colony,23529.41176,4,600,4
New Friends Colony,15555.55556,4,700,4
New Friends Colony,35714.28571,3,500,3
New Friends Colony,26785.71429,5,750,4
other,19444.44444,4,525,4
New Friends Colony,12222.22222,4,550,4
"Maharani Bagh, New Friends Colony",16666.66667,4,1200,4
"Kailash Colony, Greater Kailash",23222.57949,4,650,4
"Kailash Colony, Greater Kailash",28301.88679,4,750,4
"Kailash Colony, Greater Kailash",21590.90909,4,475,4
"Kailash Colony, Greater Kailash",20000,5,700,5
"Kailash Colony, Greater Kailash",21590.90909,4,475,4
"Kailash Colony, Greater Kailash",18181.81818,4,400,4
"Kailash Colony, Greater Kailash",24285.71429,4,850,4
"Kailash Colony, Greater Kailash",18055.55556,3,260,3
"Kailash Colony, Greater Kailash",11111.11111,4,350,4
"Kailash Colony, Greater Kailash",22222.22222,2,200,2
"Kailash Colony, Greater Kailash",21409.21409,5,790,4
"Kailash Colony, Greater Kailash",14166.66667,2,170,3
"Kailash Colony, Greater Kailash",10555.55556,4,475,4
"Kailash Colony, Greater Kailash",15362.62951,4,430,4
"Kailash Colony, Greater Kailash",19259.25926,3,260,3
"Kailash Colony, Greater Kailash",20833.33333,3,250,3
"Kailash Colony, Greater Kailash",23426.73404,5,510,4
"Kailash Colony, Greater Kailash",26666.66667,3,400,3
"Kailash Colony, Greater Kailash",14062.5,3,225,3
"Kailash Colony, Greater Kailash",15555.55556,4,700,4
"Kailash Colony, Greater Kailash",20930.23256,4,450,4
"Kailash Colony, Greater Kailash",24252.49169,4,511,4
"Kailash Colony, Greater Kailash",22173.91304,3,255,3
"Kailash Colony, Greater Kailash",21370.96774,3,265,3
"Kailash Colony, Greater Kailash",15000,2,150,2
"Kailash Colony, Greater Kailash",12222.22222,4,550,4
"Kailash Colony, Greater Kailash",22608.69565,3,260,3
"Kailash Colony, Greater Kailash",19000,4,380,4
"Kailash Colony, Greater Kailash",16111.11111,5,725,4
"Kailash Colony, Greater Kailash",21666.66667,5,650,4
other,6571.428571,2,46,2
other,12266.66667,2,92,2
other,7037.037037,3,95,4
"Naveen Shahdara, Shahdara",5000,2,45,2
other,6701.030928,2,65,3
other,5650,2,56.5,3
"Naveen Shahdara, Shahdara",6526.315789,3,93,3
Shahdara,6136.363636,2,27,2
other,6391.347099,2,65,2
other,8923.076923,2,58,2
Shahdara,5789.473684,2,55,3
"Yamuna Vihar, Shahdara",7407.407407,2,60,3
other,6000,2,45,2
Shahdara,4141.414141,2,41,2
other,4750,2,38,3
Shahdara,4888.888889,1,33,2
other,5197.132616,1,29,2
other,4494.382022,1,20,2
other,4305.555556,1,15.5,2
other,8370.37037,3,113,4
other,5294.117647,2,45,3
other,3900.70922,1,33,2
other,8846.153846,3,115,4
other,6666.666667,2,60,3
other,8571.428571,2,90,3
other,5294.117647,2,45,2
Shahdara,8484.848485,3,140,4
other,6347.826087,2,73,2
Shahdara,3837.303192,1,19,1
"Naveen Shahdara, Shahdara",6647.673314,2,70,3
"Yamuna Vihar, Shahdara",7407.407407,2,60,3
"Yamuna Vihar, Shahdara",8533.333333,2,64,1
"Yamuna Vihar, Shahdara",5000,1,27,2
"Yamuna Vihar, Shahdara",8701.472557,2,65,2
"Yamuna Vihar, Shahdara",5555.555556,1,40,2
"Yamuna Vihar, Shahdara",7963.125421,1,30,1
"Yamuna Vihar, Shahdara",4444.444444,2,50,2
"Yamuna Vihar, Shahdara",8415.147265,2,60,2
"Yamuna Vihar, Shahdara",6944.444444,1,25,1
"Yamuna Vihar, Shahdara",7222.222222,2,65,2
"Yamuna Vihar, Shahdara",11220.19635,1,80,3
"Yamuna Vihar, Shahdara",5357.142857,1,27,2
"Yamuna Vihar, Shahdara",64285.71429,2,45,1
"Yamuna Vihar, Shahdara",6705.882353,2,57,3
"Yamuna Vihar, Shahdara",10288.06584,3,250,4
"Yamuna Vihar, Shahdara",28282.82828,3,700,3
"Yamuna Vihar, Shahdara",8922.558923,4,265,7
"Yamuna Vihar, Shahdara",8222.222222,2,185,3
"Yamuna Vihar, Shahdara",20000,3,300,5
"Yamuna Vihar, Shahdara",14550.26455,2,220,2
other,22500,2,90,2
"Yamuna Vihar, Shahdara",30092.59259,3,650,3
"Yamuna Vihar, Shahdara",35714.28571,2,225,3
"Yamuna Vihar, Shahdara",26851.85185,3,87,6
"Yamuna Vihar, Shahdara",30555.55556,5,220,6
"Yamuna Vihar, Shahdara",27407.40741,2,185,4
"Yamuna Vihar, Shahdara",22857.14286,1,160,2
"Yamuna Vihar, Shahdara",23703.7037,3,160,4
"Yamuna Vihar, Shahdara",12500,2,90,4
other,5294.117647,2,45,2
Laxmi Nagar,7490.636704,2,60,3
Laxmi Nagar,6000,2,27,1
Laxmi Nagar,6500,2,65,3
Laxmi Nagar,4040.40404,2,40,3
Laxmi Nagar,6190.47619,1,26,2
Laxmi Nagar,7777.777778,1,35,2
Laxmi Nagar,7500,2,75,2
Laxmi Nagar,7777.777778,2,70,3
Laxmi Nagar,5625,2,45,3
Laxmi Nagar,7638.888889,3,55,3
Laxmi Nagar,6000,1,27,2
Laxmi Nagar,3555.555556,2,24,2
Laxmi Nagar,6764.705882,3,115,4
"Guru Angad Nagar West, Laxmi Nagar",6545.454545,2,36,2
"Guru Angad Nagar West, Laxmi Nagar",4392.764858,2,17,1
other,5555.555556,1,25,2
Laxmi Nagar,7333.333333,2,66,4
Laxmi Nagar,7400,1,37,2
other,7936.507937,1,35,2
other,6750,2,54,3
other,5666.666667,2,25.5,2
other,12500,3,125,3
Laxmi Nagar,7832.167832,2,56,2
Laxmi Nagar,11666.66667,2,70,2
Laxmi Nagar,6481.481481,1,35,2
other,112179.4872,4,350,4
Laxmi Nagar,11111.11111,2,90,3
"Guru Angad Nagar West, Laxmi Nagar",8518.518519,1,23,1
Laxmi Nagar,6666.666667,2,60,3
Laxmi Nagar,6000,2,60,3
Uttam Nagar,4907.407407,2,26.5,2
"Uttam Nagar Floors, Uttam Nagar",4600,2,43.7,3
"Virat Residency, Dwarka Mor",4620,2,46.2,3
"Adarsh Homes, Dwarka Mor",5555.555556,2,30,2
"Kushwaha Homes, Uttam Nagar",6111.111111,2,33,2
"Partap Homes, Bhagwati Vihar, Uttam Nagar",5510,2,55.1,3
Dwarka Mor,6400,2,32,2
Uttam Nagar West,4814.814815,2,26,2
Uttam Nagar,5128.205128,2,40,3
Uttam Nagar West,4111.111111,1,18.5,2
Uttam Nagar,4722.222222,1,17,1
other,3111.111111,2,28,3
Uttam Nagar West,4343.434343,2,21.5,2
other,5666.666667,3,68,4
Uttam Nagar,6200,2,62,3
Uttam Nagar,5000,2,31,2
Dwarka Mor,5000,2,34,3
other,4968.944099,2,40,2
other,6584.36214,2,48,2
Uttam Nagar,4629.62963,2,25,2
Uttam Nagar,5555.555556,1,20,1
Uttam Nagar West,3454.545455,2,19,2
other,5794.205794,2,58,3
Dwarka Mor,6444.444444,2,29,2
Uttam Nagar West,3636.363636,1,20,2
other,4727.272727,2,26,2
Uttam Nagar,4296.296296,1,29,2
Uttam Nagar,5470.08547,2,32,2
other,6666.666667,2,54,3
Dwarka Mor,4967.320261,2,38,3
"The Leela Sky Villas, Patel Nagar",28796.92833,4,1350,5
"The Leela Sky Villas, Patel Nagar",23840.04102,4,930,4
other,117142.8571,3,82,2
Patel Nagar West,10000,2,80,3
Patel Nagar West,10555.55556,2,95,3
Patel Nagar West,11904.7619,5,200,4
Patel Nagar West,8222.222222,2,74,2
"Patel Nagar East, Patel Nagar",18750,3,375,3
Patel Nagar West,7500,4,150,4
"The Leela Sky Villas, Patel Nagar",29105.26316,3,553,3
"Patel Nagar East, Patel Nagar",17320.26144,3,265,3
"Patel Nagar East, Patel Nagar",160000,2,160,3
Patel Nagar West,11555.55556,2,104,3
Patel Nagar West,6296.296296,1,17,1
Patel Nagar West,8421.052632,2,80,2
"Patel Nagar East, Patel Nagar",15000,3,270,3
Patel Nagar West,13000,3,195,3
"Patel Nagar East, Patel Nagar",27777.77778,3,500,3
Patel Nagar West,11722.22222,3,211,3
"The Leela Sky Villas, Patel Nagar",24718.12663,3,570,3
Patel Nagar West,6941.176471,3,59,2
other,85714.28571,2,120,3
Patel Nagar West,13333.33333,2,120,3
Patel Nagar West,13333.33333,3,240,3
"Patel Nagar East, Patel Nagar",35000,1,70,1
"Patel Nagar East, Patel Nagar",8417.508418,3,150,3
other,1666.666667,2,15,2
Patel Nagar West,9753.08642,1,39.5,2
Patel Nagar West,8333.333333,3,125,3
other,24242.42424,1,16,3
other,18250,4,365,4
other,16666.66667,2,200,3
Vasant Kunj,13636.36364,2,150,2
Vasant Kunj,17857.14286,2,250,3
