location,total_sqft,bath,price,bhk
"Hauz Khas Enclave, Hauz Khas",44444.44444,4,1000,4
Hauz Khas,26111.11111,4,470,3
Hauz Khas,17187.5,4,275,3
Hauz Khas,25000,5,700,4
other,21470.58824,3,365,3
"Hauz Khas Enclave, Hauz Khas",27083.33333,5,650,4
other,17676.76768,4,350,3
"Hauz Khas Enclave, Hauz Khas",26666.66667,5,560,4
"Hauz Khas Enclave, Hauz Khas",20370.37037,4,1100,4
"Safdarjung Development Area, Hauz Khas",19200,3,240,3
Hauz Khas,44565.21739,4,1025,4
"Hauz Khas Enclave, Hauz Khas",37037.03704,4,1000,4
"Safdarjung Development Area, Hauz Khas",31034.48276,3,450,3
Chittaranjan Park,13829.27992,3,290,3
other,20400,3,255,3
Chittaranjan Park,20937.5,3,335,3
Chittaranjan Park,24038.46154,5,625,4
Chittaranjan Park,27941.17647,3,475,3
Chittaranjan Park,13172.04301,3,147,3
Chittaranjan Park,16822.42991,3,180,2
Chittaranjan Park,18750,3,225,3
Chittaranjan Park,18333.33333,3,220,3
other,18500,3,222,3
Chittaranjan Park,15517.24138,3,225,3
Chittaranjan Park,7500,2,75,2
other,12345.67901,4,300,4
Chittaranjan Park,6878.306878,1,65,2
Chittaranjan Park,21212.12121,3,350,3
other,12962.96296,2,175,3
Chittaranjan Park,22857.14286,5,600,4
Chittaranjan Park,22222.22222,4,400,4
Chittaranjan Park,92000,3,115,3
Chittaranjan Park,15625,3,225,3
Chittaranjan Park,15000,4,285,3
Chittaranjan Park,16111.11111,3,290,3
Chittaranjan Park,12916.66667,2,155,3
other,14444.44444,3,260,3
Chittaranjan Park,13750,3,165,3
Chittaranjan Park,13355.99806,5,550,4
Chittaranjan Park,11904.7619,2,125,3
Chittaranjan Park,20000,3,175,3
other,11616.16162,2,115,2
Chittaranjan Park,1674.208145,3,185,3
